id	biome	feature	material	environment_package	location	seq_counts	rel_seq_count
4441138.3	mine drainage ; microbial mat	mine drainage ; microbial mat	mine drainage ; microbial mat	built environment	Richmond Mine, Iron Mountain, CA	3090474	1369
4441139.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean - Coccos Keeling, Inside Lagoon	925031	2
4441139.4	marine habitat	marine habitat	marine habitat	water	Indian Ocean - International waters between Madagascar and South Africa	952664	6
4441143.3	marine habitat	marine habitat	marine habitat	water	Block Island, NY	1171883	9
4441144.3	marine habitat	marine habitat	marine habitat	water	Cape May, NJ	1146538	3
4441145.3	marine habitat	marine habitat	marine habitat	water	Equatorial Pacific TAO Buoy	955696	1
4441146.3	marine habitat	marine habitat	marine habitat	water	Tropical South Pacific - 201 miles from F. Polynesia	952420	4
4441147.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean	1005049	0
4441148.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean - St. Anne Island, Seychelles	988141	5
4441149.3	marine habitat	marine habitat	marine habitat	water	Outside Seychelles, Indian Ocean	1161215	5
4441150.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean	1161280	2
4441151.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean - International Water Outside of Reunion Island	1175119	4
4441152.3	marine habitat	marine habitat	marine habitat	water	Outside Halifax, Nova Scotia	790735	13
4441153.3	marine habitat	marine habitat	marine habitat	water	Northern Gulf of Maine	768473	7
4441155.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean	1135208	3
4441156.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean	1122587	4
4441167.3	marine habitat	marine habitat	marine habitat	water	Polynesia Archipelagos - Moorea, Cooks Bay	920843	15
4441185.3	marine biome	marine habitat	biosolids	host-associated	Main Beach site of Tatoosh Island,located in the eastern Pacific 0.7 km off the northwestern tip of Washington State	697816	0
4441191.3	marine biome	marine habitat	biosolids	host-associated	Main Beach site of Tatoosh Island,located in the eastern Pacific 0.7 km off the northwestern tip of Washington State	667983	1
4441205.3	terrestrial biome	plant-associated habitat	organic material	plant-associated	Effretikon	3144362	168
4441214.3	sediment	sediment	sediment	unknown	Gulf of Mexico	939125	0
4441215.3	marine bathyal zone biome	abyssal plain	marine sediment	sediment	Gulf of Mexico	945910	0
4441347.3	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	264484	0
4441363.3	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	1878404	1
4441558.3	unknown	unknown	unknown	unknown	unknown	164754	0
4441568.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean - International Water Outside of Reunion Island	1175119	4
4441570.3	marine habitat	marine habitat	marine habitat	water	Sargasso Sea	9198412	2961
4441571.3	marine habitat	marine habitat	marine habitat	water	Sargasso Sea	9196520	2961
4441573.3	marine habitat	marine habitat	marine habitat	water	Sargasso Sea	4488630	404
4441574.3	marine habitat	marine habitat	marine habitat	water	Sargasso Sea	5198232	19
4441576.3	marine habitat	marine habitat	marine habitat	water	Sargasso Sea	14677	0
4441582.3	marine habitat	marine habitat	marine habitat	water	Bay of Fundy, Nova Scotia	896567	5
4441585.3	marine habitat	marine habitat	marine habitat	water	Off Nags Head, NC	2069496	7
4441589.3	marine habitat	marine habitat	marine habitat	water	Caribbean Sea, Northeast of Colon	2032705	7
4441590.3	freshwater habitat	freshwater habitat	freshwater habitat	water	Lake Gatun, Panama	4383638	44
4441591.3	marine habitat	marine habitat	marine habitat	water	Eastern Tropical Pacific, Gulf of Panama	1990104	21
4441592.3	marine habitat	marine habitat	marine habitat	water	Eastern Tropical Pacific, 250 miles from Panama City	16214	0
4441593.3	marine habitat	marine habitat	marine habitat	water	Eastern Tropical Pacific, Dirty Rock, Cocos Island	1802910	3
4441594.3	marine habitat	marine habitat	marine habitat	water	Open Ocean, 134 miles NE of Galapagos	1516084	31
4441595.3	marine habitat	marine habitat	marine habitat	water	Galapagos Islands, Devil	3299553	25
4441596.3	marine habitat	marine habitat	marine habitat	water	Galapagos Islands - North James Bay, Santigo Island	1994211	9
4441596.4	marine habitat	marine habitat	marine habitat	water	Galapagos Islands, Coastal Floreana	2845623	7
4441597.3	marine habitat	marine habitat	marine habitat	water	Upwelling, Fernandina Island	6424371	6
4441598.3	marine habitat	marine habitat	marine habitat	water	Galapagos Islands - Mangrove on Isabella Island	2137930	373
4441599.3	marine habitat	marine habitat	marine habitat	water	Punta Cormorant, Hypersaline Lagoon, Floreana Island	10156010	193
4441600.3	marine habitat	marine habitat	marine habitat	water	Galapagos Islands - North Seamore Island	1979311	9
4441601.3	marine habitat	marine habitat	marine habitat	water	Galapagos Islands - Wolf Island	2108918	6
4441602.3	marine habitat	marine habitat	marine habitat	water	Cabo Marshall, Isabella Island	1188127	7
4441603.3	marine habitat	marine habitat	marine habitat	water	Polynesia Archipelagos - Moorea, Cooks Bay	1681846	20
4441604.3	marine habitat	marine habitat	marine habitat	water	Polynesia Archipelagos - Rangirora Atoll	1948275	4
4441605.3	marine habitat	marine habitat	marine habitat	water	Polynesia Archipelagos - Moorea, Outside Cooks	1711695	6
4441606.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean - Coccos Keeling, Inside Lagoon	925010	2
4441607.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean	1816107	1
4441608.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean	967333	6
4441609.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean	1845364	2
4441610.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean	2136072	5
4441611.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean - 500 Miles west of the Seychelles in the Indian Ocean	6275148	14
4441613.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean - St. Anne Island, Seychelles	6181700	8
4441614.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean - International water between Madagascar and South Africa	2155475	3
4441615.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean - International waters between Madagascar and South Africa	1904713	1
4441616.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean - International water between Madagascar and South Africa	2087886	7
4441617.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean - East coast Zanzibar (Tanzania), offshore Paje lagoon	1954456	4
4441618.3	marine habitat	marine habitat	marine habitat	water	Indian Ocean - West coast Zanzibar (Tanzania), harbour region	2018942	2
4441619.3	fossil	fossil	fossil	miscellaneous	Southern Ocean off the west Antarctic Peninsula shelf	748469	4
4441620.3	fossil	fossil	fossil	host-associated	Pacific Ocean, Santa Cruz Basin	709149	6
4441621.3	marine habitat	marine habitat	marine habitat	water	Canadian Arctic	1816357	13
4441622.3	marine habitat	marine habitat	marine habitat	water	Arctic Chukchi	1816357	13
4441623.3	marine habitat	marine habitat	marine habitat	water	Bay of British Columbia	1092209	1
4441624.3	marine habitat	marine habitat	marine habitat	water	Sargasso Sea	1062662	0
4441625.3	marine habitat	marine habitat	marine habitat	water	Eastern Gulf of Mexico	661222	10
4441625.4	marine habitat	marine habitat	marine habitat	water	Northeastern Gulf of Mexico	661222	10
4441626.3	marine habitat	marine habitat	marine habitat	water	Texas Coast, Gulf of Mexico	661222	10
4441627.3	marine habitat	marine habitat	marine habitat	water	Western Gulf of Mexico	661222	10
4441628.3	marine habitat	marine habitat	marine habitat	water	Texas Coast, Gulf of Mexico	661222	10
4441629.3	marine habitat	marine habitat	marine habitat	water	Northeastern Gulf of Mexico	661222	10
4441648.3	unknown	unknown	unknown	unknown	unknown	339181	8
4441655.3	unknown	unknown	unknown	unknown	unknown	650619	7
4441656.4	microbial mat ; fossil	microbial mat ; fossil	microbial mat ; fossil	host-associated	Pacific Ocean, Santa Cruz Basin	689251	1
4441658.3	marine habitat	marine habitat	marine habitat	water	Delaware Bay, NJ	1818101	9
4441661.3	marine habitat	marine habitat	marine habitat	water	Eastern Tropical Pacific, 30 miles from Cocos Island	1994634	10
4441662.3	marine habitat	marine habitat	marine habitat	water	Galapagos Islands - Warm seep, Roca Redonda	5433233	317
4441663.3	hydrothermal vent	hydrothermal vent	hydrothermal vent	water	Black smoker chimneys on East Pacific Rise	5276647	13
4441679.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Bloomington, IL	476100	208
4441680.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Bloomington, IL	331738	135
4441681.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Bloomington, IL	640942	204
4441682.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Bloomington, IL	436920	179
4441695.3	Small lake biome	animal-associated habitat	bodily fluid	host-associated	San Diego University, San Diego, California	95772	20
